question_id,quiz_id,question,choice1,choice2,choice3,choice4,correct_answer,answer_source,explanation
1,1,1を漢字にすると？,一,回答2,回答3,回答4,1,https://runteq.jp/,説明説明説明説明説明説明
2,1,2を漢字にすると？,回答1,二,回答3,回答4,2,https://runteq.jp/,説明説明説明説明説明説明
3,1,3を漢字にすると？,回答1,回答2,三,回答4,3,https://runteq.jp/,説明説明説明説明説明説明
4,1,4を漢字にすると？,回答1,回答2,回答3,四,4,https://runteq.jp/,説明説明説明説明説明説明
5,1,5を漢字にすると？,五,回答2,回答3,回答4,1,https://runteq.jp/,説明説明説明説明説明説明
6,1,6を漢字にすると？,回答1,六,回答3,回答4,2,https://runteq.jp/,説明説明説明説明説明説明
7,1,7を漢字にすると？,回答1,回答2,七,回答4,3,https://runteq.jp/,説明説明説明説明説明説明
8,1,8を漢字にすると？,回答1,回答2,回答3,八,4,https://runteq.jp/,説明説明説明説明説明説明
9,1,9を漢字にすると？,九,回答2,回答3,回答4,1,https://runteq.jp/,説明説明説明説明説明説明
10,1,10を漢字にすると？,回答1,十,回答3,回答4,2,https://runteq.jp/,説明説明説明説明説明説明
11,2,0をひらがな読みすると？,ぜろ,回答2,回答3,回答4,1,https://runteq.jp/,説明説明説明説明説明説明
12,2,1をひらがな読みすると？,回答1,いち,回答3,回答4,2,https://runteq.jp/,説明説明説明説明説明説明
13,2,2をひらがな読みすると？,回答1,回答2,に,回答4,3,https://runteq.jp/,説明説明説明説明説明説明
14,2,3をひらがな読みすると？,回答1,回答2,回答3,さん,4,https://runteq.jp/,説明説明説明説明説明説明
15,2,4をひらがな読みすると？,よん,回答2,回答3,回答4,1,https://runteq.jp/,説明説明説明説明説明説明
16,2,5をひらがな読みすると？,回答1,ご,回答3,回答4,2,https://runteq.jp/,説明説明説明説明説明説明
17,2,6をひらがな読みすると？,回答1,回答2,ろく,回答4,3,https://runteq.jp/,説明説明説明説明説明説明
18,2,7をひらがな読みすると？,回答1,回答2,回答3,なな,4,https://runteq.jp/,説明説明説明説明説明説明
19,2,8をひらがな読みすると？,はち,回答2,回答3,回答4,1,https://runteq.jp/,説明説明説明説明説明説明
20,2,9をひらがな読みすると？,回答1,きゅう,回答3,回答4,2,https://runteq.jp/,説明説明説明説明説明説明
21,3,0をカタカナ読みすると？,ゼロ,回答2,回答3,回答4,1,https://runteq.jp/,説明説明説明説明説明説明
22,3,1をカタカナ読みすると？,回答1,イチ,回答3,回答4,2,https://runteq.jp/,説明説明説明説明説明説明
23,3,2をカタカナ読みすると？,回答1,回答2,ニ,回答4,3,https://runteq.jp/,説明説明説明説明説明説明
24,3,3をカタカナ読みすると？,回答1,回答2,回答3,サン,4,https://runteq.jp/,説明説明説明説明説明説明
25,3,4をカタカナ読みすると？,ヨン,回答2,回答3,回答4,1,https://runteq.jp/,説明説明説明説明説明説明
